questions,情境,answers
1. 你覺得識新朋友好易嗎？  請你用五分制揀（5係最同意，1係最唔同意）。,我係一個啱啱考完DSE、就快畢業嘅中學生。考完試之後唞緊嘅時候，會為將來感到擔心，冇乜明確嘅計劃，成日諗多咗、質疑自己，但係同朋友相處仍然好活躍、好 social。,4
2. 你可以花幾日時間去學啲你感興趣嘅隨機嘢。  請你用五分制揀（5係最同意，1係最唔同意）。,,5
3. 當其他人唔開心嘅時候，你都會跟住唔開心。  請你用五分制揀（5係最同意，1係最唔同意）。,,5
4. 你唔係嗰種鍾意準備後備計劃嘅人。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
5. 就算好大壓力，你都可以保持冷靜同淡定。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
6. 出街嗰陣，你好少會主動同新識嘅人介紹自己——你寧願同熟啲嘅人傾偈。請你用五分制揀（5係最同意，1係最唔同意）。  ,,4
7. 你唔鍾意未完成第一個項目就開始新嘅。  請你用五分制揀（5係最同意，1係最唔同意）。,,5
8. 你係一個跟感覺行事先嘅人。  請你用五分制揀（5係最同意，1係最唔同意）。,,5
9. 你鍾意用清單或者時間表。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
10. 犯一個小錯誤會令你懷疑自己係咪真係識嗰樣嘢。  請你用五分制揀（5係最同意，1係最唔同意）。,,4
11. 你好容易同陌生人開始傾偈。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
12. 你鍾意傾同分析一啲創意作品。  請你用五分制揀（5係最同意，1係最唔同意）。,,5
13. 你傾向跟感覺行，唔係跟個腦。  請你用五分制揀（5係最同意，1係最唔同意）。,,5
14. 你鍾意跟返個日常習慣，多過隨心所欲。  請你用五分制揀（5係最同意，1係最唔同意）。,,5
15. 識新朋友嗰陣，你會擔心自己有冇留低好嘅第一印象。  請你用五分制揀（5係最同意，1係最唔同意）。,,4
16. 你鍾意自己一個玩，多過同成班人一齊。  請你用五分制揀（5係最同意，1係最唔同意）。,,4
17. 你鍾意睇嗰啲結局要自己估嘅電影。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
18. 你自己成功得到嘅快樂，多過幫人哋得到嘅快樂。  請你用五分制揀（5係最同意，1係最唔同意）。,,5
19. 你對好多嘢都冇乜興趣。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
20. 不時喺任何情況下，你都擔心最差嘅情況會發生。  請你用五分制揀（5係最同意，1係最唔同意）。,,4
21. 你鍾意做領導角色。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
22. 你係藝術型嘅人。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
23. 如果啲人多用啲感情去做決定，個世界會更加好。  請你用五分制揀（5係最同意，1係最唔同意）。,,5
24. 你做家務之前，鍾意休息下先。  請你用五分制揀（5係最同意，1係最唔同意）。,,4
25. 當其他人喺你面前吵交，你都唔會介意。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
26. 你鍾意成為眾人焦點。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
27. 你情緒通常都好穩定。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
28. 對住啲效率低過你嘅人，你都有足夠耐性。  請你用五分制揀（5係最同意，1係最唔同意）。,,4
29. 你係一個即興嘅人。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
30. 你一直都好想知道死之後會發生咩事。  請你用五分制揀（5係最同意，1係最唔同意）。,,5
31. 你鍾意自己一個人，多過同人一齊。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
32. 你鍾意理論討論，可以連續幾日都參與喺度。  請你用五分制揀（5係最同意，1係最唔同意）。,,1
33. 你好難同情生活方式同你好唔同嘅人。  請你用五分制揀（5係最同意，1係最唔同意）。,,2
34. 要做決定嗰陣，你希望即刻決定好。  請你用五分制揀（5係最同意，1係最唔同意）。,,5
35. 你成日會懷疑自己嘅決定。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
36. 好快你就會覺得社交好攰。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
37. 你鍾意去美術館。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
38. 你好難理解人哋感受緊啲咩。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
39. 你鍾意每日都有張待辦事項清單。  請你用五分制揀（5係最同意，1係最唔同意）。,,1
40. 你成日覺得唔安樂。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
41. 你鍾意打電話同人傾偈，多過傳訊息。  請你用五分制揀（5係最同意，1係最唔同意）。,,5
42. 當有人對某個話題有唔同睇法，你會真心嘗試去理解佢哋嘅觀點。  請你用五分制揀（5係最同意，1係最唔同意）。,,5
43. 你覺得講出冷酷事實緊要過婉轉表達。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
44. 當計劃被打斷，你唔介意順其自然。  請你用五分制揀（5係最同意，1係最唔同意）。,,4
45. 以前犯過嘅錯誤不時會困擾你。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
46. 自己一個人睇書或者思考之後，你會覺得精力充沛。  請你用五分制揀（5係最同意，1係最唔同意）。,,5
47. 你鍾意靠直覺，多過跟死個計劃或者時間表。  請你用五分制揀（5係最同意，1係最唔同意）。,,4
48. 你成日會深入諗嘢嘅深層意義同影響，唔只係睇表面。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
49. 做決定嗰陣，你優先考慮邏輯同客觀分析，多過考慮人哋感受。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
50. 就算件事睇落好順利，你都成日擔心將來會出錯。  請你用五分制揀（5係最同意，1係最唔同意）。,,3
