問題,情境,answers
1. 你覺得交新朋友很容易。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,我是一位大學畢業生，自尊心較低且情緒不穩定。我經常感到被現實生活的壓力所壓垮，但仍然維持著龐大的社交圈。我的決策更多依賴直覺而非邏輯，並且擁有豐富的想像力，幫助迅速適應變動的環境。儘管適應力強，我仍對不確定性和自我懷疑相當敏感，而這些特質也影響了與他人互動的方式，以及對未來的看法。,4
2. 你可以花幾天時間學習那些讓你感興趣的隨機事物。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,5
3. 當別人感到沮喪時，你也會感到沮喪。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
4. 你不是一個喜歡備用計畫的人。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,3
5. 即使在壓力很大的情況下，你也能保持冷靜、沉著和鎮定。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
6. 外出時，你不太會主動介紹自己給新認識的人——你更喜歡和已經認識的人聊天。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,3
7. 在完成第一個專案之前，你不喜歡開始新的專案。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,5
8. 你是一個感性的人。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,5
9. 你喜歡使用清單或日程安排。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,5
10. 犯一個小錯誤會讓你質疑自己對某個主題的了解。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
11. 你很容易與陌生人展開對話。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
12. 你喜歡談論和分析創意作品。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,5
13. 你更傾向於跟隨內心而不是理智。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
14. 你傾向於喜歡遵循日常慣例，而不是隨心所欲。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
15. 認識新朋友時，你會擔心自己是否留下了良好的第一印象。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
16. 你喜歡獨自活動而不是團體活動。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,5
17. 你喜歡觀看那些讓你自己解讀結局的電影。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,5
18. 你從自己取得成就中獲得的快樂比幫助他人獲得的快樂更多。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,3
19. 你對很多事情都沒興趣。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,3
20. 在任何情況下，你經常擔心最糟糕的情況。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,3
21. 你喜歡擔任領導角色。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
22. 你是個藝術型的人。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,3
23. 如果人們多用感情來做決定，世界會更好。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
24. 你喜歡在做家事之前先放鬆一下。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,3
25. 當其他人在你面前激烈爭論時，你不介意。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,3
26. 你喜歡成為關注的中心。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,3
27. 你的情緒通常很穩定。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,3
28. 對於那些效率不如你的人，你有足夠的耐心。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
29. 你是一個自發性的人。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
30. 你一直對死後會發生什麼這個問題感到著迷。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,5
31. 你喜歡獨處而不是與他人在一起。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
32. 你喜歡理論討論，可以連續幾天參與其中。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,3
33. 你很難對生活方式與自己截然不同的人產生同情。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,3
34. 當需要做決定時，你希望立即做出決定。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,3
35. 你傾向於對自己所做的決定產生懷疑。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,3
36. 社交很快就讓你感到疲憊。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
37. 你喜歡去美術館。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
38. 你很難理解別人正在感受什麼。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,2
39. 你喜歡每天都有待辦事項清單。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,5
40. 你經常感到不安。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,3
41. 你喜歡打電話與人交談，而不是發簡訊或訊息。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,3
42. 當有人對某個主題有不同的看法時，你會真誠地嘗試理解他們的觀點。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,5
43. 你認為說出冷酷的事實比圓滑更重要。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
44. 當計劃被打斷時，你樂於隨遇而安。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
45. 過去犯的錯誤常困擾你的心靈。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,3
46. 獨處並從事閱讀或反思等獨立活動後，你感到精力充沛。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,5
47. 你喜歡依靠直覺，而不是嚴格遵循計劃或日程安排。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
48. 你經常發現自己深入思考事物的深層意義和影響，而不只關注表面細節。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,5
49. 在做決定時，你優先考慮邏輯和客觀分析，而不是考慮它可能對他人感情的影響。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
50. 即使事情看起來很順利，你也經常擔心潛在的未來結果或可能出錯的情況。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
51. 你經常被新體驗吸引，喜歡探索陌生的地方或嘗試新的活動。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,5
52. 面對困難的決定時，你傾向於相信自己的直覺和直覺，而不是只依賴邏輯分析。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
53. 你對他人有強烈的同情心，常常受到他們的情緒影響，即使這些情緒與你無關。請使用五點量表進行選擇（5：非常同意，1：非常不同意）,,4
