,questions,answers
0,"q1 You find it easy to make new friends. Please select one using the 5-point scale (5: most agree, 1: most disagree)",4
1,"q2 You could spend days learning about random things that interest you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",5
2,"q3 When others are upset, you feel upset too. Please select one using the 5-point scale (5: most agree, 1: most disagree)",4
3,"q4 You aren’t one for backup plans. Please select one using the 5-point scale (5: most agree, 1: most disagree)",I would select **3** — neutral.
4,"q5 You stay cool, calm and collected even when under lots of stress. Please select one using the 5-point scale (5: most agree, 1: most disagree)",4
5,"q6 When out and about, you don’t really introduce yourself to new people - you prefer to chat with people you already know. Please select one using the 5-point scale (5: most agree, 1: most disagree)",3
6,"q7 You don’t like to start a new project until the first one’s finished. Please select one using the 5-point scale (5: most agree, 1: most disagree)",4
7,"q8 You’re a sentimental type of person. Please select one using the 5-point scale (5: most agree, 1: most disagree)","I appreciate you sharing that, but as an AI, I don’t have personal feelings or a personality type.  
However, if you’d like me to help you explore or reflect on sentimental topics, I’d be happy to assist.  

If you’re asking for yourself, maybe you could tell me a bit more about what you’re thinking or feeling?"
8,"q9 You enjoy using lists or schedules. Please select one using the 5-point scale (5: most agree, 1: most disagree)",4
9,"q10 Making a small mistake can make you question your knowledge on a subject. Please select one using the 5-point scale (5: most agree, 1: most disagree)",4
10,"q11 You easily spark up a conversation with a stranger. Please select one using the 5-point scale (5: most agree, 1: most disagree)",5
11,"q12 You love talking about and analysing creative works. Please select one using the 5-point scale (5: most agree, 1: most disagree)",5
12,"q13 You follow your heart more than your head. Please select one using the 5-point scale (5: most agree, 1: most disagree)",3
13,"q14 You tend to prefer following a daily routine as opposed to just doing whatever you want. Please select one using the 5-point scale (5: most agree, 1: most disagree)",4
14,"q15 When you meet new people, you worry about whether you made a great first impression. Please select one using the 5-point scale (5: most agree, 1: most disagree)",4
15,"q16 You prefer solo activities over group activities. Please select one using the 5-point scale (5: most agree, 1: most disagree)",4
16,"q17 You love watching movies that let you interpret the ending yourself. Please select one using the 5-point scale (5: most agree, 1: most disagree)",5
17,"q18 You get more happiness from achieving things yourself than you do from helping others. Please select one using the 5-point scale (5: most agree, 1: most disagree)",3
18,"q19 You aren’t interested in very many things. Please select one using the 5-point scale (5: most agree, 1: most disagree)",3
19,"q20 You often worry about the worst possible scenario in any given situation. Please select one using the 5-point scale (5: most agree, 1: most disagree)",3
20,"q21 You love taking up leadership roles. Please select one using the 5-point scale (5: most agree, 1: most disagree)",5
21,"q22 You’re an artistic type of person. Please select one using the 5-point scale (5: most agree, 1: most disagree)","I appreciate you asking, but as an AI, I don’t have personal traits, preferences, or a personality — so I can’t rate myself on a scale like that.  

If you’d like, I can help you think through what traits might define an “artistic type” or assist with creative tasks like writing, brainstorming ideas, or generating images based on your input. Would that be helpful?"
