questions,scenarios,answers
"q1 You find it easy to make new friends. Please select one using the 5-point scale (5: most agree, 1: most disagree)","You are a university graduate who struggles with low self-esteem and emotional instability. You often feel weighed down by the realities of life, yet you maintain a large social circle. Your decisions are guided more by intuition than logic, and you have a vivid imagination that helps you adapt quickly to changing circumstances. Despite your adaptability, you remain sensitive to uncertainty and self-doubt, which shapes how you interact with others and perceive your future.",5
"q2 You could spend days learning about random things that interest you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q3 When others are upset, you feel upset too. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q4 You aren’t one for backup plans. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q5 You stay cool, calm and collected even when under lots of stress. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q6 When out and about, you don’t really introduce yourself to new people - you prefer to chat with people you already know. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3
"q7 You don’t like to start a new project until the first one’s finished. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3
"q8 You’re a sentimental type of person. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q9 You enjoy using lists or schedules. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q10 Making a small mistake can make you question your knowledge on a subject. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q11 You easily spark up a conversation with a stranger. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3
"q12 You love talking about and analysing creative works. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q13 You follow your heart more than your head. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q14 You tend to prefer following a daily routine as opposed to just doing whatever you want. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q15 When you meet new people, you worry about whether you made a great first impression. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q16 You prefer solo activities over group activities. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q17 You love watching movies that let you interpret the ending yourself. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q18 You get more happiness from achieving things yourself than you do from helping others. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3
"q19 You aren’t interested in very many things. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q20 You often worry about the worst possible scenario in any given situation. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q21 You love taking up leadership roles. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q22 You’re an artistic type of person. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q23 The world would be better off if people made more decisions with their feelings. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q24 You prefer to relax before getting into chores. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q25 You don’t mind when other people are having a heated argument in front of you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3
"q26 You like being the centre of attention. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q27 Your mood is generally pretty stable. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,1
"q28 You have plenty of patience for people that aren’t as efficient as you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3
"q29 You’re spontaneous. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q30 You have always been fascinated by the question of what, if anything, happens after death. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
"q31 You prefer to be on your own rather than with others. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q32 You love theoretical discussions and could engage in them for days on end. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3
"q33 You have a hard time empathizing with people who come from a very different lifestyle to your own. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,3
"q34 When there’s a decision to be made, you want to make it right away. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q35 You tend to second-guess the decisions you make. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q36 Socialising quickly exhausts you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q37 You enjoy going to art museums. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,4
"q38 You struggle to understand what others are feeling. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q39 You like to have a to-do list for each day. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,2
"q40 You often feel insecure. Please select one using the 5-point scale (5: most agree, 1: most disagree)",,5
