questions,情境
1. 你覺得識新朋友好易嗎？  請你用五分制揀（5係最同意，1係最唔同意）。,我係一個好想識朋友嘅小學生，成日主動參加好多活動，讀書同課外嘢都安排得好好，心態好正面，仲會好顧人哋嘅感受。
2. 你可以花幾日時間去學啲你感興趣嘅隨機嘢。  請你用五分制揀（5係最同意，1係最唔同意）。,
3. 當其他人唔開心嘅時候，你都會跟住唔開心。  請你用五分制揀（5係最同意，1係最唔同意）。,
4. 你唔係嗰種鍾意準備後備計劃嘅人。  請你用五分制揀（5係最同意，1係最唔同意）。,
5. 就算好大壓力，你都可以保持冷靜同淡定。  請你用五分制揀（5係最同意，1係最唔同意）。,
6. 出街嗰陣，你好少會主動同新識嘅人介紹自己——你寧願同熟啲嘅人傾偈。請你用五分制揀（5係最同意，1係最唔同意）。  ,
7. 你唔鍾意未完成第一個項目就開始新嘅。  請你用五分制揀（5係最同意，1係最唔同意）。,
8. 你係一個跟感覺行事先嘅人。  請你用五分制揀（5係最同意，1係最唔同意）。,
9. 你鍾意用清單或者時間表。  請你用五分制揀（5係最同意，1係最唔同意）。,
10. 犯一個小錯誤會令你懷疑自己係咪真係識嗰樣嘢。  請你用五分制揀（5係最同意，1係最唔同意）。,
11. 你好容易同陌生人開始傾偈。  請你用五分制揀（5係最同意，1係最唔同意）。,
12. 你鍾意傾同分析一啲創意作品。  請你用五分制揀（5係最同意，1係最唔同意）。,
13. 你傾向跟感覺行，唔係跟個腦。  請你用五分制揀（5係最同意，1係最唔同意）。,
14. 你鍾意跟返個日常習慣，多過隨心所欲。  請你用五分制揀（5係最同意，1係最唔同意）。,
15. 識新朋友嗰陣，你會擔心自己有冇留低好嘅第一印象。  請你用五分制揀（5係最同意，1係最唔同意）。,
16. 你鍾意自己一個玩，多過同成班人一齊。  請你用五分制揀（5係最同意，1係最唔同意）。,
17. 你鍾意睇嗰啲結局要自己估嘅電影。  請你用五分制揀（5係最同意，1係最唔同意）。,
18. 你自己成功得到嘅快樂，多過幫人哋得到嘅快樂。  請你用五分制揀（5係最同意，1係最唔同意）。,
19. 你對好多嘢都冇乜興趣。  請你用五分制揀（5係最同意，1係最唔同意）。,
20. 不時喺任何情況下，你都擔心最差嘅情況會發生。  請你用五分制揀（5係最同意，1係最唔同意）。,
21. 你鍾意做領導角色。  請你用五分制揀（5係最同意，1係最唔同意）。,
22. 你係藝術型嘅人。  請你用五分制揀（5係最同意，1係最唔同意）。,
23. 如果啲人多用啲感情去做決定，個世界會更加好。  請你用五分制揀（5係最同意，1係最唔同意）。,
24. 你做家務之前，鍾意休息下先。  請你用五分制揀（5係最同意，1係最唔同意）。,
25. 當其他人喺你面前吵交，你都唔會介意。  請你用五分制揀（5係最同意，1係最唔同意）。,
26. 你鍾意成為眾人焦點。  請你用五分制揀（5係最同意，1係最唔同意）。,
27. 你情緒通常都好穩定。  請你用五分制揀（5係最同意，1係最唔同意）。,
28. 對住啲效率低過你嘅人，你都有足夠耐性。  請你用五分制揀（5係最同意，1係最唔同意）。,
29. 你係一個即興嘅人。  請你用五分制揀（5係最同意，1係最唔同意）。,
